阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
,AR模型功率谱估计及Matlab实现,功率谱估计;AR模型;算法;MATLAB,"功率谱估计是分析随机信号的一种重要方法,是信息学科的研究热点。文章介绍了现代功率谱估计中AR模型参数的几种典型求解算法,并借助MATLAB平台对各种算法的功率谱进行仿真。",计算机与数字工程Computer&DigitalEngineering,2010,该文介绍AR模型的计算方法，以及Yule-Walker方程；从三种参数估计方法自相关法（最简单）、burg和改进协方差算法展开详细介绍；最后进行仿真验证。AR模型计算功率谱的过程其实就是参数估计得过程；重点放在三种参数估计方法上,4,,,
,基于AR模型的功率谱估计,AR模型;自相关法;Burg算法;阶数选择,"为了更好地模拟计算功率谱,采用了现代功率谱估计中常用的基于AR模型的自相关法和Burg法,通过仿真给出了估计出的功率谱曲线,结果表明,Burg算法在谱分辨率方面有着良好的性能。选择合适的采样点数来确定模型阶数,给出阶数选择的原则。",现代电子技术ModernElectronicsTechnique,2011,该文有AR模型的Z变换前的计算公式原理：白噪声ω(n)激励一物理网络；提出AR模型的参数估计方法大致分三类：1. 自相关系数类；2. 反射系数类；3. 最小二乘类；在文末提了一下模型阶数的估计，但该文并未使用自动确定阶数的算法，搞了几个不同阶数的然后对比了一下。,4,,,
2018/12/27,中医可穿戴脉象信息采集与分析技术研究,,,上海中医药大学-福建会议,2018,,,,,
2018/12/28,,,,,,,,,,
2019/1/3,,,,,,,,,,
2019/1/4,无创实时动脉血压监测系统用于三叉神经微血管减压手术的临床研究,三叉神经痛;微血管减压手术;无创实时动脉血压监测系统;并发症,"目的探讨无创实时动脉血压监测系统在三叉神经微血管减压手术(microvasculardecompression,MVD)中的应用价值。方法选取该院自2017年3月—2018年3月间收治的行MVD手术治疗的患者70例作为研究对象,随机将其分成两组,观察组患者35例术中采用无创实时动脉血压监测系统,对照组患者35例在MVD术中未进行动脉血压监测,比较两组患者手术有效性以及并发症发生率。结果观察组患者手术总有效率为94.29%,略高于对照组的88.57%(χ2=0.729,P>0.05);观察组术后并发症发生率为8.57%,对照组则高达31.43%(χ2=5.714,P<0.05)。结论在MVD术中采用无创实时动脉血压监测系统来全程跟踪手术过程,可以提升手术有效率、提高手术安全性,因此值得推广使用。",系统医学,2018,血压实时监测方法是腕带、压力传感器，自动搜索脉搏最强位置,1,,,
2019/1/5,,,,,,,,,,
2019/1/8,,,,,,,,,,
2019/1/9,VOLUNTARY CARDIO-RESPIRATORY SYNCHRONIZATION: HARDWARE AND SOFTWARE DEVELOPMENTAND ICVALUATION,"heart rate variability,VCRS, breathing",Voluntary cardio-respiratory synchronization (VCRS) is a technique where an individual's breathing is voluntarily phase locked with hisher heart beat. A signal is generated (tone or light) from the ECG that is used to pace the breath with a fixed number of heart beats for inspiration and expiration. A small portable device was developed that can create a tone to pace the breathing and record the data for repeated measurements for extended periods of time (days or weeks). The device was tested on an individual over a four-week period. Measurements of heart rate variability were made at various times throughout the day for a total of 68 recordings. The data were analyzed to separate out respiratory and non-respiratory induced changes in the heart rate using a unique time domain analysis. The results showed significantvariability over the measurementperiod.,Proceedingsof the 23rdAnnual EMBS InternationalConference,2001,呼吸对心率变异性有很大贡献 respiration is one of the strong contributors to heart rate variability；所以该文借助VCRS技术（一个可以让呼吸和心跳锁定的技术）消除长时程（extended periods of time）心电数据采集时呼吸带给心率变异性的变化。VCRS系统原理是利用光/声调调节呼吸节律，见下文。,,,,
,Basic Technology of Voluntary Cardiorespiratory Synchronization in Electrocardiology,,"Ordinary respiration produces surprisingly large and highly variable changes in the electrocardiogram of many subjects, healthy as well as diseased. By responding voluntarily to a visual signal developed by special but 'simple electronic circuitry, or by a small computer, the subject can ""breathe with the lights"" and thus pace his breathing to an exact submultiple of his own heart rate without requiring forced breathing or constant respiratory rate. The flexible stationarity introduced by this technique allows two goals to be approached. One is the ""epitome"" electrocardiogram, a sequence of VCG-ECG patterns highly reproducible and highly characteristic of the individual as his heart responds to normal respiratory influences. The other is a set of indices characterizing quantitatively the physiological dynamics of the cardiorespiratory interaction in the individual. This pattern, expressed as respiratory heart-rate modulation index and pattern dynamics indices, may contain important medical indicators of autonomic and cardiovascular systems response status. The technology of producing these cardiorespiratory synchrograms (CRSG) is discussed with a brief outline of their medical and research utility.",IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,1974,该文研制了VCRS系统，让实验者跟随光呼吸，来调整呼吸节律，使其与心脏跳动节律保持一致,2,,,
2019/1/10,,,,,,,,,,
2019/1/13,,,,,,,,,,
2019/1/14,RR and R wave to Finger Pulse Interval Changes as a Function of Respiration Rate and Body Position using VCRS,,"A technique of voluntary cardiorespiratory
synchronization (VCRS), where the respiration rate is
synchronized at a submultiple of the heart rate, was used to
investigate the RR wave interval change and R to finger
pulse interval change as a function of respiration in 6
subjects. Data were collected with subjectsbreathing at 4, 8,
12 beats per respiratory cycle in the supine and standing
position. Followinga tone, the subjects inspired for two, four
or six heart beats and expired respectively for two, four, or
six beats. The results showed a sigmficant decrease in the
RR intend with inspiration and an increase in the R to
finger pulse time. This produces an approximate 180 degree
phase differencebetween the pulse time interval change and
the RR interval. It is unclear whether R-pulse interval
change is due to blood-pressure changes, other vasomotor
factorsor a change in the inotropic state of the heart.",Proceedings- 19th InternationalConference - IEEE/EMBS ,1997,该文发现，随着呼吸率的下降，RR间期有明显降低，R to finger 间期增加，但不排除血压变化，血管收缩因素和心脏肌肉收缩状态等因素对心率变异性的影响。,,,,
2019/1/15,,,,,,,,,,
2019/1/16,60起道路交通死亡事故分析,,,法医临床学理论与实践,,笔者统计某区某年的60起道路交通死亡事故，从性别、年龄、职业特点，发生时间、道路特点，死者交通方式，损害部位、死因等方面进行统计。并十分简单地分析了原因,1,,,
,2010－2015 年北京市海淀区居民伤害死亡特征分析,伤害；死亡率；构成比；死因顺位,"目的 了解北京市海淀区居民伤害死亡水平、原因及分布特征。 方法 对海淀区 2010－2015 年居民死亡监测资料进行统计分析，根据 ICD-10 进行死因分类，采用 Excel 2016、 SPSS 19.0 软件进行数据统计分析。结果 2010－2015 年期间海淀区户籍居民共计伤害死亡 1 608 例，平均死亡率为 11.67/10 万，位于死因顺位第 6 位。男性平均伤害死亡率为 13.14 /10 万，显著高于女性 10.18/10 万（χ?＝25.305，P＜0.05）。伤害死因前 3 位分别为非故意跌落（43.16 %）、机动车交通事故（20.90 %）和自杀（3.98%）。非故意跌落主要发生在≥65 岁的老年人，占 86.46%。随着年龄增长，男性和女性的伤害死亡率均呈上升趋势，经趋势性 χ?检验，差异有统计学意义（χ?＝1 466.648 和 1506.781, P＜0. 05）。 结论 伤害是海淀区居民死亡的主要原因之一。男性伤害死亡率明显高于女性，应加强对男性伤害防护；老年人是发生跌落的主要群体，应在老年人中积极开展防跌落的预防控制工作。",疾病监测,2018,如题，统计分析伤害死亡的原因,2,,,
2019/1/17,,,,,,,,,,
2019/1/26,,,,,,,,,,
2019/1/27,脉搏波信号降噪和特征点识别研究,脉搏波； 小波变换； 信号去噪； 特征点提取,"对脉搏波的完全分析是建立在含有少量噪声且较为清晰的脉搏波信号中,然而在采集脉搏波信号时容易受到多种干扰的影响,使其提取出来的脉搏波含有大量的噪声,因此降噪处理显得尤为必要。同时,脉搏波中含有人体生理病理信息,不同的人将表现为不同的特征,可以看出确定脉搏波特征点对于分析人体生理健康很有意义。针对信号去噪问题采用小波变换和多分辨率分析的方法,该方法在时域和频域都能表征信号局部信息的能力,且具有对信号具有自适应性。运用极值法确定出脉搏波的峰值点,然后再根据峰值点确定出其他特征点的位置,实验证明该方法能够增加特征点的检出率。",电子设计工程ElectronicDesignEngineering,2013,该文主要对脉搏波去噪方法进行介绍，不过我没看这部分。其对特征点识别的部分采用一阶差分阈值，和九几年那几篇特征点识别创新算法一样。,3,TRUE,,
2019/1/28,,,,,,,,,,
2019/1/29,基于心率变异性的精神疲劳的研究,率变异性;精神疲劳;主动疲劳;被动疲劳,"以心率变异性指标对精神疲劳程度进行客观评估。对主动疲劳与被动疲劳进行区分,指出负荷、应激与疲劳之间的联系。在此基础上,设计读书和笔算两种精神疲劳实验。比较读书阶段和音乐放松阶段的心率变异性(HRV)指标,将笔算过程的HRV指标和工效指标结合起来进行分析。结果表明:以工作绩效检测精神疲劳有局限性;读书阶段的疲劳累积效应强于笔算过程引发的疲劳;随着读书或笔算过程中疲劳程度的增加,HRV增加而HR降低,说明精神疲劳促使应激能力降低。HRV直接反映的是应激水平,在严格的约束条件下,HRV可以反映被动疲劳程度;随着被动疲劳程度的增加,通常HRV升高,HR降低,这可能是生理抑制性保护作用。",中国生物医学工程学报CHINESEJOURNALOFBIOMEDICALENGINEERING,2010,该文提出主动疲劳和被动疲劳的区别，认为，主动疲劳是由于睡眠不足或主观努力造成的，而被动疲劳是由于作业环节乏味等造成的；提出HRV和应激反应是确切对应的，但和疲劳的关系是多方面的，当应激反应较高时，有可能是被试者不疲劳且拥有较高的工作效率，也有可能是被试者处于疲劳状态，但主观抑制努力克服疲劳，反之亦然。该文并未提出如何通过HRV的变化得出疲劳状态的变化，而是建议广大研究者在做相关研究时，应注意实验条件，从多方面，通过多源的生物信号来反映人的疲劳状态，而不能单从HRV的降低和升高来简单的做定论。,4,,TRUE,
2019/1/30,,,,,,,,,,
2019/2/12,,,,,,,,,,
2019/2/13,运动与心率变异研究进展,心率变异性;心脏功能;体育运动;应用,"近年来,心率变异(HRV)作为无创性心电监测指标之一被受关注,HRV可用于评价自主神经系统的功能,由于HRV的降低作为预测心脏病猝死的独立危险因子,因此,其在临床及其它领域都有广泛的应用,文章重点介绍了HRV在体育运动领域中的应用研究概况。",浙江体育科学ZhejiangSportScience,2008,该文主要介绍心率变异性在体育运动方面的研究现状，以及研究成果；首先介绍了心率变异性与自主神经的关系，认为迷走神经是HRV的调节神经，HRV反映窦房结水平的自主神经调节情况，是公认的判断自主神经活动的最好的办法；其次介绍了心率变异性的时频域分析方法，认为HRV的频域分析可以反映心率每搏的瞬时变化，其中HF（高频成分）反映迷走神经活性，而LF在交感神经占优势时候增加，迷走神经活性增加时候减少，LF/HF则反映了二者的均衡性。随后，从三个方面介绍了运动与HRV的关系，分别是：经常锻炼的人与未经常锻炼的人的HRV的区别、运动中、运动后HRV的变化。认为，经过运动训练的人其神经功能对心脏的支配能力得到了提升，总的来说和迷走神经相关的HR和HRV指标均得到提升。运动中和运动后的HRV的变化多出现于预期不一样的结果,5,,,
2019/2/14,心率变异性(HRV)在运动性疲劳诊断中应用的实验研究,运动性疲劳 心率变异性(HRV) 亚极量运动 极量运动,"研究目的:本文检测普通大学生(18一19岁)及体育专业学生在亚极量运动至疲劳和极量运动至疲劳前后的心率变异性(HRV)值,探讨运动性疲劳与心率变异性(HVR)的关系,进而探讨运动性疲劳后自主神经对心脏调控变化程度的变化,旨在为今后研究心率变异性(HRV)在运动性疲劳诊断中的应用提供实验依据,为健身锻炼和运动训练实践提供运动性疲劳的无创诊断指标。",江西师范大学体育学院硕士学位论文,2004,极量运动与亚极量运动致疲劳后HRV与平静时候对比，无论是运动员还是正常人，均显著降低；安静状态下，育专业学生和普通学生的HRV无显著差异；无论是极量运动还是非极量运动，运动致疲劳后普通学生的HRV均比体育专业学生的底，且有显著差异，表明体育训练能提高自主神经的适应性，同时表明HRV在运动性疲劳的诊断中具有高度敏感性。该文中还对HRV与自主神经调节的关系进行了阐述，对同行对运动中HRV变化的研究进行了综述。,4,,,
2019/2/15,关于运动性疲劳的产生与恢复的研究,运动性疲劳;训练;恢复,"运动性疲劳一直是体育科学研究中重要的课题, 运动疲劳是由于运动而使身体机能暂时降低的现象, 对有关运动性疲劳进行研究, 对疲劳的概念及其分类、疲劳的产生机制与学说、疲劳的测定与判断、疲劳的恢复与预防等做了较全面的阐述。",吉林体育学院学报JournalofJilinInstituteofPhysicalEducation,2008,关于运动性疲劳的产生机理，三五种假说，测定，恢复方法等做了综述，借鉴其恢复方法：放松活动、良好休息、合理营养、等。,3,,,
,绿茶活性提取物对有氧性运动疲劳恢复的作用研究,,,运动医学,,为了验证绿茶活性提取物对有氧运动疲劳的恢复作用，安排两组实验人员，其中一组为对照组，实验分两次进行，第一次两组运动后均服用安慰剂，第二次在第一次后一周进行，运动后实验组服用绿茶活性物质，组间和组内对比，看其血液中的血清CK等含量，实验表明与疲劳相关的指标有显著性差异，表明绿茶活性提取物对运动性疲劳有较为明显的缓解作用,2,,,
,瑜伽放松术在速度滑冰疲劳恢复训练中的实验研究 ,瑜伽放松术；速度滑冰；青少年；运动性疲劳,,东北师范大学硕士论文,2014,研究结果表明：与传统放松训练相比，瑜伽放松训练可有效缓地解青少年速滑运动员大强度训练后产生的疲劳，具体主要表现为：瑜伽放松训练可有效降低、缓解运动性疲劳产生的心率升高、血乳酸酸升高、自我疲劳感升高，以及提升心境状态（精力感提升、疲劳感下降）四个方面。,3,,,
,《自然》：间断性睡眠毁血管，碎片化睡眠诱发动脉粥样硬化,,"[1] Cameron S. McAlpine et al. Sleep modulates haematopoiesis and protects against atherosclerosis, Nature (2019).DOI: 10.1038/s41586-019-0948-2
[2] ""Sleep-wake cycle: its physiology and impact on health"". National Sleep Foundation. 2006
[3] Ford, E. S., Cunningham, T. J. & Croft, J. B. Trends in self-reported sleep duration
among US adults from 1985 to 2012. Sleep 38, 829–832 (2015).
[4] Cappuccio, F. P., Cooper, D., D’Elia, L., Strazzullo, P. & Miller, M. A. Sleep duration predicts cardiovascular outcomes: a systematic review and meta-analysis of prospective studies. Eur. Heart J. 32, 1484–1492 (2011).
[5]Alan R. Tall &Sanja Jelic,How broken sleep promotes cardiovascular disease
[6] Scammell, T. E., Arrigoni, E. & Lipton, J. O. Neural circuitry of wakefulness and sleep. Neuron 93, 747–765 (2017)
[7] Latorre, D. et al. T cells in patients with narcolepsy target self-antigens of hypocretin neurons. Nature 562, 63–68 (2018).",,,睡眠过程总被打扰，会使得下视丘激素分泌减少，间接增多了骨髓造血，使得白细胞增多，从而引起动脉粥样硬化斑块；白细胞还会破坏正常细胞壁上的细胞，使得其演变为巨噬细胞，导致血栓；总睡眠质量不好，睡眠不足会影响代谢。,3,,,
2019/2/16,,,,,,,,,,
2019/2/18,,,,,,,,,,
2019/2/19,中国心血管病风险评估和管理指南,心血管疾病； 危险性评估； 一级预防； 指南,心血管病是造成我国居民死亡和疾病负担的首要病因，心血管病防控形势严峻。心血管病风险评估和危险因素管理是预防心血管病的重要基础。根据国内外最新的流行病学和防治证据，本指南着重介绍了我国开展心血管病风险评估的指导方案，包括心血管病 10 年风险和终生风险评估的流程，风险分层依据和风险评估工具的使用。针对心血管病的一级预防，本指南进一步介绍了生活方式干预的基本措施，血压、血脂、血糖管理的基本原则等内容。本指南的实施有助于指导我国心血管病风险评估和相关危险因素管理，推进基层心血管病预防工作。,中国循环杂志 ,2019,该指南提出对心血管疾病的风险评估与管理方法，借鉴欧美相关指南的制定标准，对模型的建立的准备工作和方法、需要采集的指标及依据、评估逻辑以及不同类型疾病的风险预测方法进行介绍，并对各类疾病的干预措施进行列举：从膳食结构、运动等生活方式展开介绍。本文大量引用外文参考文献，对于心血管疾病的风险评估模型建立有很深的参考价值。,5,,,
2019/2/20,运动状态下的智能远程心电监测预警系统设计,心电监测；运动状态识别；分级预警；智能医疗,基于单导联方式设计了一款具有运动状态识别、心电分级预警、远 程 无 线 传 输 等 功 能 于 一 体 的 新 型 心 电 监 测 系统。本设计通过基于ＳＴＭ３２Ｆ１０３芯片的心电监测终端，将人体表面采集到的微弱心电信号进行滤波和放大处理，并结合加速度传感器实时获取人体的运动信息。将采集到的心电信号进行分析处理，有针对性地提出建议和警示，达到提前预警及紧急救助的目的。实验结果表明，采集的心电波形具有良好的医学参考价值，可为未来心血管疾病的远程智能医疗提供一定的技术支持。,单片机与嵌入式系统应用,2018,该文设计了心电远程监控系统，从底层开发板到界面，其最大的亮点是运动状态的识别，模块中装有三轴加速度传感器，通过三个方向的加速度求出的a（SVW）的变化率作为人体运动状态是识别指标，利用一阶自回归模型建立人体运动状态量X(t)与delta（a（SVW））之间的关系；这样可以利用delta（a(SVW)）的值和加速度a(SVW)的幅度范围是否在特定阈值范围内来确定该人是静止状态、走路状态、跑步状态还是其他等非稳定状态。除此之外，该系统还可辨别心电信号，其中将心动过缓、过速划分为一级警告，将期前收缩等、漏搏划分为二级，停搏为三级，并设定了持续秒数，对三种警告级数分别提出解决建议。,4,,,
2019/2/21,心率变异性等多项生理指标对情绪稳定性的评价研究,,,第四军医大学博士论文,2002,本文主要研究飞行员在飞行作业过程中情绪的稳定性的高低与心率变异性之间的对应关系；建立情绪稳定性评判标准，此标准以教练员对飞行学员的日常观察得出；得出情绪稳定性高者，其自主神经对应交感神经减弱、副交感神经活动增强的结论；情绪系统主要包括主观感受、表情行为和生理反应三种主要成分。在对心率变异性的介绍中，提出短时程2~5min测量时，频域指标可分析TP、VLF、LFLFnorm、HF、Hfnorm、LF/HF；而长时程分析 不宜 分析Lfnorm、Hfnorm和LF/HF三个指标。另外，早搏、漏搏会影响心率变异性的分析，在有HRV分析要求时应滤除上述搏动。对于HRV频域成分各个指标的表述，该文指出，LF/HF过于简单化，在研究其生理意义时，只能在先验知识丰富、HF和LF变化确切了解的情况下慎重采用。另外，对于迷走神经对HF的贡献是公认的，而对于LF，有人认为，该指标是交感调制的定量指标，而有人认为该指标既反映了交感神经活性，又反映了迷走神经活性；LF/HF反映二者均衡性或者反映交感神经调制程序。,5,,TRUE,
,基于心率检测的便携式儿童情绪感知系统研制 ,情绪感知；孤独症谱系障碍；便携式；心率变异性,目的：检测儿童的情绪能力，从而检验儿童情绪能力发展是否正常以及协助训练孤独症儿童的情绪能力。方法：设计了一套便携式的儿童情绪感知系统，检测儿童的情绪能力。本系统由心率信号采集模块，PC 机端的软件以及情绪能力数据分析组成。结果：研制的儿童情绪能力感知系统具有便携、可穿戴等优点，能够准确地检测儿童情绪能力。结论：儿童情绪能力感知系统能够检测使用者的情绪能力，也能够在儿童情绪能力干预训练中记录孤独症儿童的情绪变化，为干预训练提供帮助。,现代生物医学进展Progress in Modern Biomedicine,2018,该文研制了一套情绪感知能力的测试系统，不过是离线的，该文重点介绍硬件实现框架，选取HRV频域指标中的LF/HF为度量指标，认为该指标的越大代表情绪偏向于激动，反之趋于平缓；该系统旨在用于检测儿童情绪发展是否正常，以及辅助孤独症患儿情绪干预训练，记录情绪变化。该文提出可以被用于感知被测对象情绪的HRV指标有：时域的SDNN、频域的LF/HF和非线性分析的SD1/SD2。,2,,TRUE,
2019/2/22,,,,,,,,,,
2019/2/24,,,,,,,,,,
2019/2/25,不同心理刺激诱发的交感和副交感神经活动的比较,"应激 , 交感神经活动 , 副交感神经活动 , 心率变异性","让 24名女大学生被试完成划消测验 、镜画测验 、心算和准备演讲四种应激任务 , 目的在于探讨在不同心理刺激下交感和副交感神经系统的活动是否存在差异 。 记录 HRV(HeartRateVariability, 心率变异性 )的频域成分TP(TotalPower, 总功率 )、 HF(HighFrequency, 高频 )、 LF(LowFrequency, 低频 )、 LF/HF(低频高频比 )、平均 R-R间期和血压等指标在基线和不同应激任务期间的变化 。 通过单因素重复测量方差分析和多重比较发现 , 准备演讲期间的 TP、 LF值显著地高于基线和其它三项任务 , HF的值显著地高于划消测验和心算 ;镜画测验 、划消测验和心算期间的 LF值与基线比较显著下降 , TP、 LF和 HF三项指标在这三项任务之间无显著差异 ;不同任务期间在 LF/
HF上无显著主效应 。 平均 R-R间期基线水平与所有任务间的比较及各任务之间有显著差异 。 收缩压基线水平与划消 、镜画任务间的比较有显著差异 。 结果表明 , 准备演讲期间的交感神经和副交感神经张力显著地大于其它任务 , 不同任务表现出的不同的自主神经张力变化说明交感神经与副交感神经活动不是一方活动增强 、另一方活动减弱的单纯的活动方式 , 这一结果为 Berntson提出的自主神经活动可能存在九种活动搭配模式的理论提供了实验证据 。",心理学报,2007,该文对四种任务下进行心率变异性以及RR平均间期、血压的变化规律的测试；其中准备演讲这一项与其他三项任务明显不同，其总功率TF明显高于基线组，该文认为其生理心理发生机制不同，该活动进行中，被试的注意中心是对演讲结果好与坏的担忧和焦虑，有更多的情绪应激成分，而心算主要表现为心智应激，不同的应激原理导致心率变异性频率特性的组合不同：认为交感神经系统和副交感神经系统并不只是一种活动加强，另一种活动减弱的简单的神经活动方式；高的应激体验有可能引起低的生理反应。,4,,TRUE,
2019/2/26,,,,,,,,,,
2019/2/27,On an automatic delineator for arterial blood pressure waveforms,"Arterial blood ressure waveforms
Cardiovascular system
Dicrotic notch detection
Pulse contour analysis","Arterial blood pressure waveforms contain rich pathophysiological information; hence receive much attention in cardiovascular health monitoring. To assist computerized analysis, an automatic delineator
was proposed for the fiducial points of arterial blood pressure waveforms, namely their onsets, systolic peaks and dicrotic notches. The presented delineator characterizes arterial blood pressure waveforms in a beat-by-beat manner. It firstly seeks the pairs of inflection and zero-crossing points, and then utilizes combinatorial amplitude and interval criteria to select the onset and systolic peak. Once a new beat is settled, the delineator seeks the derivative backward to locate the dicrotic notch in the preceding beat. In a nutshell, the delineator is based on the combinatorial analysis of arterial blood pressure waveforms and their derivatives. Three open databases, with an additional subset database, were utilized for delineator validation and performance evaluation. In terms of beat detection, the delineator achieved an average error rate 1.14%, sensitivity 99.43% and positive predictivity 99.45%. As to dicrotic notch detection, it performed well with an error rate 6.83%, sensitivity 96.53% and positive predictivity 96.64%.",Biomedical Signal Processing and Control,2009,重搏波波谷自适应识别方法，首先对信号进行低通滤波处理，得到的信号进行阈值估计，包括幅度阈值和时间阈值，在阈值估计时，首先将信号进行等间距分段，再用一个模板序列eg.2s去适配每一段得到初始阈值，根据这个窗口进行周期确定和脉率计算。确定阈值后，首先识别起始点onsets和收缩压峰值点systolic peaks。识别的方法为一阶差分信号最大值点（即拐点inflections）左和右。确定该两点后，即可获知周期，在每一个周期内寻找重搏波波谷点dicrotic notches。方法类似识别起始点和收缩压峰值点，也是在一阶差分信号中寻找拐点，然后在该拐点之后寻找一对儿过零点或者拐点。有的时候不存在过零点或者拐点，则根据经验值确定该点的范围。该自动识别系统的前提是假设在起始点和收缩压峰值点之间至少存在一个重搏波波谷点。,5,,,
2019/2/28,一种基于波形时域特征的脉搏波信号特征点检测方法,,,发明专利,2016,该专利说明了脉搏波各个特征点的识别方法。其具体实现步骤为：1. 幅度阈值法识别c点，该阈值设定为最大值的0.6~0.7；2. 一阶差分信号c点之前的过零点识别，作为b点（起始点）；3. 重搏波大概位置确定：c点后0.4~0.5倍之后，随后在该范围内寻找幅值极大值和极小值作为重搏波波峰和波谷点，其中，该出设定重搏波时域宽度范围，约0.3~0.4s；4. 在c点和重搏波波谷点之间寻找潮波，采用小波分解的方法寻找e点；5. 在c点和e点之间寻找一阶差分过零点作为d点，若该过零点不存在，则寻找二阶差分的e点对应位置之前的第二个过零点作为 d点，其中潮波的时域宽度范围设定为0.1~0.2s。,5,,,
2019/3/1,,,,,,,,,,
2019/3/5,,,,,,,,,,
2019/3/6,脉搏波信号的提取与双域分析,脉搏 波 ； 最佳 取脉 压 ； 压 力式传 感器 ； 双域分 析 ； 血 压 ； 身 体质量 指数,"通 过深 度解析 压 力 式 和 光 电 式 传 感 器 检 测 脉 搏 波 的 原 理 ， 探 索 压 力 式 传 感 器 最 佳 的 取 脉 压 ， 最 终 实 现 对 所
测得 的脉搏 在时 域和频 域内 分解 。 对 20 位 志 愿者 进行 脉搏波 测量 ， 利用压 电薄 膜传 感器测 量最 佳 取 脉 压 并 与 身 体
质量 指数 （BMI ） 进 行三 阶多 项式 拟合标 定 ， 在 时域和 频 域 对 脉 搏 波 分 别 进 行 小 波 和 傅 里 叶 变 换 。 测 试 结 果 表 明 ， 光
电 式脉 搏波存 在淹 没特 征点的 弊端 ， 压力式 传感 器能 清楚地 观察 到特征 点 ， 但 由于 取脉压 的问 题 导 致 波 形 有 同 体
差异 性 。 通 过对 个体施 加最 佳取脉 压 ， 压 力式 传感器 能以 高信噪 比来 检测 脉搏波 。 时频 双域分 析可 有效 提取波 形特
征点 ， 为 连续 血液测 量提 供了 良好的 数据 源 。",测控技术与仪器仪表,2019,对比了压力式脉搏波传感器和光电PPG传感器所测信号的特点：压力式的对波形的细节保留的较为完整，重搏前波相对于PPG的较为明显。对压力式的最佳取脉压力点进行了建模与拟合。另外对于时域上特征点的识别采用小波变换方法，第三层的高频系数进行e点，即重搏前波的识别，该层频段为13.5~6.75Hz。频域上进行傅里叶变换，得到呼吸频率大概为0.3Hz，心率大概在1.2Hz。该文建立在利用压力脉搏波实时监测血压的背景之下，提供了准确的特征点源。,,,,
2019/3/7,,,,,,,,,,
2019/3/8,Continuous and Noninvasive Estimation of Arterial Blood Pressure Using a Photoplethysmographic Approach,"Blood pressure, photoplethysmography,
noninvasive measurement",,Praceedingsof the 25th Annual lnlematianalConference of the IEEE EMBS,2003,"该文利用脉搏波的特征参数进行动脉血压的计算。采集15个二十几岁的男子的脉搏波与血压，设定三个不同的场景，一个是静息状态，一个是运动，一个是恢复运动。三种场景的血压达到特定场景后做记录，用该时刻的特征去做相关性分析。提取的脉搏波特征参数有四个：1/2幅值宽度、2/3幅值宽度、收缩上升时间和收缩时间。其中，收缩时间（一篇中文文献中对其解释为下降时间）与血压的相关性最强。有研究（Blood pre,rsure determination using the pulse oximeter waveform,” 200I）用非袖带解决方案来测量人体的血压，提取了脉搏波的幅值特征、面积特征还有半幅值宽度，测量位置为耳部，通过和无创血压计的读数进行标定，然而，该方法无法满足临床标准。",4,,,
2019/3/9,,,,,,,,,,
2019/3/10,脉搏波传导速度测定方法及临床意义,,,中国心血管病研究杂志,2007,该文对脉搏波传导速度的生理含义和应用价值进行了全面的综述。指出pwv，即脉搏波传导速度的计算公式为体表距离L和脉搏波传导时间PWTT的比值，该指标已经写入2003年欧洲高血压指南。其测量方法也基于此，市面上已经存在脉搏波波速自动测量系统，原理为在一个动脉血管明显的部位放置多个脉搏波测量模块，进而通过距离和时间推算出来。PWV越快，动脉的顺应性越差、僵硬度越高。该文对pwv本身的生理含义、与其他动脉指标如，脉压、动脉僵硬度和踝臂指数（指的是踝部动脉收缩压与大臂动脉压的比值）进行比较，有发现各个指标对应不同类型的疾病有各自的特异性；另外，不同部位的pwv受不同疾病的影响不一；pwv本身又受年龄、动脉血压的影响；该指标pwv可作为降压药物的有效性评估指标。,5,,,
,脉搏波与生理病理变化关系的仿真研究,脉 计算机模拟 数学模型 病理 生理 学 血液 动 力 学 脉诊,"为探讨脉搏波 中所含生 理 病理 信 息的机理 , 采 用 一 个 由 1 2 0 个数 字计 算单元组 成的人 体心 血 管 系统血 液动 力 学分布 式仿 真模型 , 对 血 液 粘 度和血 管弹 性 的 变 化 所 致挠 动脉脉搏波的 改 变 , 以 及 心 力衰竭 、 高血压 、 动脉 硬 化 3 种 病状 所致 脉搏波 的 改 变趋 势进 行了数 字仿 真研究 , 取得 了初 步的结 果。 为验证仿 真结 果 的 可信 性 , 采 集并 归 纳 了 3 1 位 受试者的脉搏波 , 其 中包括 因 心 力衰竭 和 高血 压及 冠脉硬化 而 在 医 院 就 诊的 病例 。 经 比 较可见 , 本 文工作所得 仿 真结 果与 临床检 测数据 基本 吻合 。","航天医学与医学工程
space Medieine & MedicalEngineering",1996,该文建立了脉搏波弹性血管模型，通过模拟弹性模量、粘滞系数等来观察波形的变化，从而从波形上判断出不同的疾病，并对照医院中三种血管疾病：心力衰竭、高血压和冠状动脉硬化病人的脉压，结果与实际的病人的脉压变化相吻合。主要对比的是动脉收缩压、舒张压和压差、中心动脉压的变化情况。提到，动脉硬化时，脉搏波的顶部会变平。,5,,,
